world,node,child,value_0.2_1_1,value_0.28_1_1,value_0.391_1_1,value_0.547_1_1,value_0.765_1_1,value_1.07_1_1,value_1.496_1_1,value_2.092_1_1,value_2.925_1_1,value_4.091_1_1,value_5.721_1_1,value_8_1_1
3ways_3_mirror,N20346,N98561,0.4971,0.4898,0.4755,0.4552,0.4324,0.4106,0.3918,0.3768,0.3652,0.3565,0.3501,0.3454
3ways_3_mirror,N38661,N51373,0.0135,0.044,0.0958,0.1566,0.2103,0.2504,0.2778,0.296,0.3079,0.3159,0.3212,0.3249
3ways_3_mirror,N38661,N82112,0.0032,0.0159,0.0461,0.0929,0.1448,0.1917,0.2295,0.2582,0.2793,0.2946,0.3056,0.3135
3ways_3_mirror,N38661,N42857,0.9832,0.9401,0.858,0.7505,0.6449,0.5579,0.4927,0.4458,0.4128,0.3895,0.3732,0.3616
3ways_3_mirror,N57426,N38351,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
3ways_3_mirror,N57426,N48636,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
3ways_3_mirror,N98561,N92027,1.0,1.0,0.9997,0.9971,0.985,0.9522,0.8946,0.822,0.7491,0.6862,0.6363,0.5987
3ways_3_mirror,N98561,N98315,0.0,0.0,0.0003,0.0029,0.015,0.0478,0.1054,0.178,0.2509,0.3138,0.3637,0.4013
3ways_3_mirror,N51373,N99885,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
3ways_3_mirror,N51373,N30323,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
3ways_3_mirror,N82112,N36667,1.0,1.0,1.0,1.0,1.0,0.9999,0.999,0.9931,0.9722,0.927,0.8603,0.7858
3ways_3_mirror,N82112,N12726,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0069,0.0278,0.073,0.1397,0.2142
3ways_3_mirror,N42857,N34852,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
3ways_3_mirror,N42857,N18946,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
3ways_3_mirror,N48636,N62524,0.1192,0.1933,0.2644,0.3249,0.3722,0.4076,0.4336,0.4523,0.4659,0.4756,0.4825,0.4875
3ways_3_mirror,N48636,N85330,0.8808,0.8067,0.7356,0.6751,0.6278,0.5924,0.5664,0.5477,0.5341,0.5244,0.5175,0.5125
3ways_3_mirror,N98315,N78143,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
3ways_3_mirror,N98315,N73577,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
Equal_4vs2_mirror,N96084,N46118,0.0344,0.0846,0.1538,0.2282,0.295,0.3491,0.3904,0.421,0.4433,0.4594,0.4709,0.4792
Equal_4vs2_mirror,N96084,N60971,0.9656,0.9154,0.8462,0.7718,0.705,0.6509,0.6096,0.579,0.5567,0.5406,0.5291,0.5208
Loop_2,N31422,N95626,0.1848,0.2419,0.281,0.305,0.3184,0.3255,0.3293,0.3313,0.3323,0.3328,0.3331,0.3332
Loop_2,N31422,N65814,0.0443,0.0872,0.1353,0.1809,0.2191,0.2493,0.2721,0.289,0.3014,0.3103,0.3168,0.3215
Loop_2,N31422,N21081,0.771,0.671,0.5836,0.5142,0.4625,0.4252,0.3986,0.3797,0.3664,0.3569,0.3501,0.3453
Loop_2,N21081,N94189,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
Loop_2,N21081,N45730,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
Loop_1_mirror,N75545,N24917,0.0,0.0008,0.006,0.0248,0.0652,0.1212,0.1775,0.2235,0.2572,0.2807,0.2968,0.3078
Loop_1_mirror,N75545,N40181,0.0,0.0003,0.0029,0.0147,0.0449,0.0928,0.1467,0.195,0.2333,0.2617,0.2823,0.297
Loop_1_mirror,N75545,N24183,0.9999,0.9989,0.9912,0.9605,0.89,0.7859,0.6758,0.5815,0.5096,0.4576,0.4209,0.3952
Loop_1_mirror,N24183,N91491,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8712,0.797,0.7267,0.668,0.6225
Loop_1_mirror,N24183,N94758,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1288,0.203,0.2733,0.332,0.3775
3ways_4_mirror,N40560,N34466,0.9237,0.853,0.7693,0.6824,0.6021,0.5339,0.4801,0.4394,0.4096,0.3879,0.3723,0.3612
3ways_4_mirror,N40560,N92681,0.0758,0.143,0.2141,0.2736,0.3132,0.3346,0.3437,0.346,0.3452,0.3433,0.3412,0.3393
3ways_4_mirror,N40560,N81346,0.0005,0.004,0.0166,0.044,0.0847,0.1314,0.1762,0.2145,0.2452,0.2688,0.2865,0.2995
3ways_4_mirror,N34466,N29622,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
3ways_4_mirror,N34466,N46583,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
3ways_4_mirror,N92681,N31638,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
3ways_4_mirror,N92681,N67014,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
3ways_4_mirror,N81346,N70291,1.0,1.0,1.0,0.9999,0.9991,0.9932,0.9725,0.9275,0.861,0.7865,0.7175,0.6608
3ways_4_mirror,N81346,N67187,0.0,0.0,0.0,0.0001,0.0009,0.0068,0.0275,0.0725,0.139,0.2135,0.2825,0.3392
Loop_1,N62643,N98452,0.0,0.0008,0.006,0.0248,0.0652,0.1212,0.1775,0.2235,0.2572,0.2807,0.2968,0.3078
Loop_1,N62643,N30259,0.0,0.0003,0.0029,0.0147,0.0449,0.0928,0.1467,0.195,0.2333,0.2617,0.2823,0.297
Loop_1,N62643,N46040,0.9999,0.9989,0.9912,0.9605,0.89,0.7859,0.6758,0.5815,0.5096,0.4576,0.4209,0.3952
Loop_1,N46040,N16375,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8712,0.797,0.7267,0.668,0.6225
Loop_1,N46040,N69766,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1288,0.203,0.2733,0.332,0.3775
Equal_6vs3_mirror,N36202,N79961,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_6vs3_mirror,N36202,N11570,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_6vs3_mirror,N11570,N88455,0.9993,0.9934,0.9677,0.903,0.8012,0.6868,0.5823,0.4965,0.4299,0.3798,0.3431,0.3165
Equal_6vs3_mirror,N11570,N34903,0.0003,0.0033,0.0162,0.0485,0.0989,0.154,0.1998,0.2311,0.2487,0.2568,0.2594,0.2591
Equal_6vs3_mirror,N11570,N21423,0.0003,0.0033,0.0162,0.0485,0.0989,0.154,0.1998,0.2311,0.2487,0.2568,0.2594,0.2591
Equal_6vs3_mirror,N11570,N26950,0.0,0.0,0.0,0.0001,0.0009,0.0053,0.018,0.0413,0.0727,0.1065,0.1382,0.1652
Equal_6vs3_mirror,N23503,N12838,0.9867,0.9468,0.8658,0.7568,0.6489,0.5601,0.4938,0.4464,0.4131,0.3897,0.3732,0.3617
Equal_6vs3_mirror,N23503,N61379,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
Equal_6vs3_mirror,N23503,N24217,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
Equal_6vs3_mirror,N26950,N86756,0.9867,0.9468,0.8658,0.7568,0.6489,0.5601,0.4938,0.4464,0.4131,0.3897,0.3732,0.3617
Equal_6vs3_mirror,N26950,N31827,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
Equal_6vs3_mirror,N26950,N97383,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
4vs1_mirror,N18929,N32469,0.0003,0.0033,0.0164,0.0509,0.1099,0.1831,0.2555,0.3176,0.3666,0.4035,0.4305,0.4502
4vs1_mirror,N18929,N66250,0.9997,0.9967,0.9836,0.9491,0.8901,0.8169,0.7445,0.6824,0.6334,0.5965,0.5695,0.5498
4vs1_mirror,N66250,N14639,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
4vs1_mirror,N66250,N48874,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
3ways_4,N10778,N17119,0.9237,0.853,0.7693,0.6824,0.6021,0.5339,0.4801,0.4394,0.4096,0.3879,0.3723,0.3612
3ways_4,N10778,N41301,0.0758,0.143,0.2141,0.2736,0.3132,0.3346,0.3437,0.346,0.3452,0.3433,0.3412,0.3393
3ways_4,N10778,N11146,0.0005,0.004,0.0166,0.044,0.0847,0.1314,0.1762,0.2145,0.2452,0.2688,0.2865,0.2995
3ways_4,N17119,N92843,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
3ways_4,N17119,N61586,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
3ways_4,N41301,N48312,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
3ways_4,N41301,N52598,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
3ways_4,N11146,N27397,1.0,1.0,1.0,0.9999,0.9991,0.9932,0.9725,0.9275,0.861,0.7865,0.7175,0.6608
3ways_4,N11146,N88526,0.0,0.0,0.0,0.0001,0.0009,0.0068,0.0275,0.0725,0.139,0.2135,0.2825,0.3392
Equal_6vs6_mirror,N64290,N31979,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_6vs6_mirror,N64290,N99197,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3ways_1_mirror,N57322,N72074,0.0,0.0002,0.0023,0.0127,0.04,0.085,0.1371,0.1854,0.2248,0.2548,0.2769,0.2929
3ways_1_mirror,N57322,N76155,0.9999,0.9983,0.9882,0.953,0.8784,0.7736,0.6655,0.5739,0.5043,0.4541,0.4185,0.3936
3ways_1_mirror,N57322,N49197,0.0001,0.0015,0.0094,0.0343,0.0816,0.1414,0.1974,0.2407,0.2709,0.2911,0.3046,0.3136
3ways_1_mirror,N72074,N44785,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
3ways_1_mirror,N72074,N25579,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
3ways_1_mirror,N76155,N71411,1.0,1.0,1.0,1.0,0.9994,0.9952,0.9785,0.9389,0.8758,0.8017,0.7308,0.6713
3ways_1_mirror,N76155,N50448,0.0,0.0,0.0,0.0,0.0006,0.0048,0.0215,0.0611,0.1242,0.1983,0.2692,0.3287
3ways_1_mirror,N49197,N83903,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
3ways_1_mirror,N49197,N45565,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
6vs1_2,N62262,N90683,0.0,0.0,0.0,0.0004,0.0037,0.0179,0.0539,0.1142,0.1877,0.2597,0.321,0.3692
6vs1_2,N62262,N91944,1.0,1.0,1.0,0.9996,0.9963,0.9821,0.9461,0.8858,0.8123,0.7403,0.679,0.6308
6vs2_mirror,N16794,N20889,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
6vs2_mirror,N16794,N45925,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
3ways_1,N44644,N15176,0.0,0.0002,0.0023,0.0127,0.04,0.085,0.1371,0.1854,0.2248,0.2548,0.2769,0.2929
3ways_1,N44644,N68923,0.9999,0.9983,0.9882,0.953,0.8784,0.7736,0.6655,0.5739,0.5043,0.4541,0.4185,0.3936
3ways_1,N44644,N92191,0.0001,0.0015,0.0094,0.0343,0.0816,0.1414,0.1974,0.2407,0.2709,0.2911,0.3046,0.3136
3ways_1,N15176,N26876,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
3ways_1,N15176,N42091,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
3ways_1,N68923,N10165,1.0,1.0,1.0,1.0,0.9994,0.9952,0.9785,0.9389,0.8758,0.8017,0.7308,0.6713
3ways_1,N68923,N96619,0.0,0.0,0.0,0.0,0.0006,0.0048,0.0215,0.0611,0.1242,0.1983,0.2692,0.3287
3ways_1,N92191,N16867,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
3ways_1,N92191,N77234,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
Equal_8vs8,N26136,N77859,0.9498,0.891,0.8182,0.7456,0.6833,0.6341,0.5971,0.5698,0.5501,0.5359,0.5257,0.5184
Equal_8vs8,N26136,N23128,0.0502,0.109,0.1818,0.2544,0.3167,0.3659,0.4029,0.4302,0.4499,0.4641,0.4743,0.4816
3ways_3,N69030,N79809,0.4971,0.4898,0.4755,0.4552,0.4324,0.4106,0.3918,0.3768,0.3652,0.3565,0.3501,0.3454
3ways_3,N69030,N26625,0.4971,0.4898,0.4755,0.4552,0.4324,0.4106,0.3918,0.3768,0.3652,0.3565,0.3501,0.3454
3ways_3,N69030,N65156,0.0058,0.0205,0.049,0.0896,0.1353,0.1789,0.2163,0.2464,0.2695,0.2869,0.2997,0.3091
3ways_3,N79809,N41261,0.0135,0.044,0.0958,0.1566,0.2103,0.2504,0.2778,0.296,0.3079,0.3159,0.3212,0.3249
3ways_3,N79809,N53132,0.9832,0.9401,0.858,0.7505,0.6449,0.5579,0.4927,0.4458,0.4128,0.3895,0.3732,0.3616
3ways_3,N79809,N50019,0.0032,0.0159,0.0461,0.0929,0.1448,0.1917,0.2295,0.2582,0.2793,0.2946,0.3056,0.3135
3ways_3,N26625,N92857,1.0,1.0,0.9997,0.9971,0.985,0.9522,0.8946,0.822,0.7491,0.6862,0.6363,0.5987
3ways_3,N26625,N43317,0.0,0.0,0.0003,0.0029,0.015,0.0478,0.1054,0.178,0.2509,0.3138,0.3637,0.4013
3ways_3,N65156,N54494,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
3ways_3,N65156,N64651,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
3ways_3,N41261,N40424,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
3ways_3,N41261,N12394,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
3ways_3,N53132,N51943,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
3ways_3,N53132,N97783,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
3ways_3,N50019,N91451,1.0,1.0,1.0,1.0,1.0,0.9999,0.999,0.9931,0.9722,0.927,0.8603,0.7858
3ways_3,N50019,N34800,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0069,0.0278,0.073,0.1397,0.2142
3ways_3,N43317,N12802,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
3ways_3,N43317,N97603,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
3ways_3,N64651,N77862,0.1192,0.1933,0.2644,0.3249,0.3722,0.4076,0.4336,0.4523,0.4659,0.4756,0.4825,0.4875
3ways_3,N64651,N42432,0.8808,0.8067,0.7356,0.6751,0.6278,0.5924,0.5664,0.5477,0.5341,0.5244,0.5175,0.5125
6vs1_1,N56747,N56864,0.1933,0.2649,0.325,0.3723,0.4077,0.4336,0.4524,0.4659,0.4756,0.4825,0.4875,0.4911
6vs1_1,N56747,N82829,0.8067,0.7351,0.675,0.6277,0.5923,0.5664,0.5476,0.5341,0.5244,0.5175,0.5125,0.5089
3ways_2,N90891,N81595,0.0135,0.044,0.0958,0.1566,0.2103,0.2504,0.2778,0.296,0.3079,0.3159,0.3212,0.3249
3ways_2,N90891,N13245,0.9832,0.9401,0.858,0.7505,0.6449,0.5579,0.4927,0.4458,0.4128,0.3895,0.3732,0.3616
3ways_2,N90891,N77370,0.0032,0.0159,0.0461,0.0929,0.1448,0.1917,0.2295,0.2582,0.2793,0.2946,0.3056,0.3135
3ways_2,N81595,N87576,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
3ways_2,N81595,N48010,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
3ways_2,N13245,N32928,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
3ways_2,N13245,N91031,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
3ways_2,N77370,N51166,1.0,1.0,1.0,1.0,1.0,0.9999,0.999,0.9931,0.9722,0.927,0.8603,0.7858
3ways_2,N77370,N92423,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0069,0.0278,0.073,0.1397,0.2142
6vs1_1_mirror,N32131,N97498,0.1933,0.2649,0.325,0.3723,0.4077,0.4336,0.4524,0.4659,0.4756,0.4825,0.4875,0.4911
6vs1_1_mirror,N32131,N72305,0.8067,0.7351,0.675,0.6277,0.5923,0.5664,0.5476,0.5341,0.5244,0.5175,0.5125,0.5089
