world,node,child,value_1
Equal_2vs5_mirror,N86472,N73070,0.5
Equal_2vs5_mirror,N86472,N12601,0.5
3ways_2_mirror,N20537,N61048,0.3333
3ways_2_mirror,N20537,N53349,0.3333
3ways_2_mirror,N20537,N38759,0.3333
3ways_2_mirror,N61048,N31028,0.5
3ways_2_mirror,N61048,N14684,0.5
3ways_2_mirror,N53349,N22906,0.5
3ways_2_mirror,N53349,N23735,0.5
3ways_2_mirror,N38759,N26939,0.5
3ways_2_mirror,N38759,N82844,0.5
Equal_10vs2_mirror,N74542,N84331,0.5
Equal_10vs2_mirror,N74542,N25495,0.5
6vs1_2_mirror,N96941,N61632,0.5
6vs1_2_mirror,N96941,N99612,0.5
Equal_10vs2,N92580,N16553,0.5
Equal_10vs2,N92580,N51698,0.5
Equal_6vs3,N93546,N45994,0.5
Equal_6vs3,N93546,N73133,0.5
Loop_2_mirror,N90706,N65692,0.3333
Loop_2_mirror,N90706,N52431,0.3333
Loop_2_mirror,N90706,N61240,0.3333
Loop_2_mirror,N61240,N96236,0.5
Loop_2_mirror,N61240,N87785,0.5
Equal_4vs2,N25436,N93213,0.5
Equal_4vs2,N25436,N46529,0.5
4ways,N39711,N75328,0.25
4ways,N39711,N96243,0.25
4ways,N39711,N28397,0.25
4ways,N39711,N48992,0.25
4ways,N75328,N26976,0.3333
4ways,N75328,N53690,0.3333
4ways,N75328,N85228,0.3333
4ways,N96243,N32798,0.25
4ways,N96243,N91530,0.25
4ways,N96243,N88542,0.25
4ways,N96243,N68171,0.25
4ways,N28397,N27336,0.3333
4ways,N28397,N21554,0.3333
4ways,N28397,N26319,0.3333
4ways,N48992,N60447,0.3333
4ways,N48992,N61169,0.3333
4ways,N48992,N29748,0.3333
4ways,N26976,N20811,0.3333
4ways,N26976,N25416,0.3333
4ways,N26976,N38655,0.3333
4ways,N53690,N67505,0.5
4ways,N53690,N81529,0.5
4ways,N85228,N55441,0.5
4ways,N85228,N95080,0.5
4ways,N32798,N22474,0.3333
4ways,N32798,N99878,0.3333
4ways,N32798,N60238,0.3333
4ways,N91530,N70552,0.3333
4ways,N91530,N70945,0.3333
4ways,N91530,N19695,0.3333
4ways,N88542,N68334,0.3333
4ways,N88542,N14860,0.3333
4ways,N88542,N67846,0.3333
4ways,N68171,N79384,0.3333
4ways,N68171,N99186,0.3333
4ways,N68171,N84945,0.3333
4ways,N27336,N24918,0.5
4ways,N27336,N35692,0.5
4ways,N21554,N77546,0.3333
4ways,N21554,N16090,0.3333
4ways,N21554,N64741,0.3333
4ways,N26319,N83433,0.5
4ways,N26319,N93526,0.5
4ways,N60447,N57637,0.5
4ways,N60447,N20174,0.5
4ways,N61169,N97788,0.3333
4ways,N61169,N39247,0.3333
4ways,N61169,N66641,0.3333
4ways,N29748,N38171,0.5
4ways,N29748,N21112,0.5
4ways,N20811,N50954,0.5
4ways,N20811,N30238,0.5
4ways,N25416,N46107,0.5
4ways,N25416,N67687,0.5
4ways,N38655,N79056,0.5
4ways,N38655,N22842,0.5
4ways,N81529,N85196,0.5
4ways,N81529,N19126,0.5
4ways,N95080,N88611,0.5
4ways,N95080,N18220,0.5
4ways,N22474,N35001,0.5
4ways,N22474,N29539,0.5
4ways,N99878,N73325,0.5
4ways,N99878,N57901,0.5
4ways,N60238,N13644,0.5
4ways,N60238,N33016,0.5
4ways,N70552,N17060,0.5
4ways,N70552,N30543,0.5
4ways,N70945,N40273,0.5
4ways,N70945,N45998,0.5
4ways,N19695,N43251,0.5
4ways,N19695,N68434,0.5
4ways,N68334,N75021,0.5
4ways,N68334,N55430,0.5
4ways,N14860,N96551,0.5
4ways,N14860,N32558,0.5
4ways,N67846,N51445,0.5
4ways,N67846,N48696,0.5
4ways,N79384,N70045,0.5
4ways,N79384,N56788,0.5
4ways,N99186,N27839,0.5
4ways,N99186,N60822,0.5
4ways,N84945,N65345,0.5
4ways,N84945,N27552,0.5
4ways,N24918,N79823,0.5
4ways,N24918,N96706,0.5
4ways,N77546,N54553,0.5
4ways,N77546,N39780,0.5
4ways,N16090,N26846,0.5
4ways,N16090,N66021,0.5
4ways,N64741,N21259,0.5
4ways,N64741,N92391,0.5
4ways,N83433,N11692,0.5
4ways,N83433,N85488,0.5
4ways,N57637,N98600,0.5
4ways,N57637,N85102,0.5
4ways,N97788,N44503,0.5
4ways,N97788,N24895,0.5
4ways,N39247,N47659,0.5
4ways,N39247,N91153,0.5
4ways,N66641,N39797,0.5
4ways,N66641,N17903,0.5
4ways,N38171,N79618,0.5
4ways,N38171,N92012,0.5
Equal_6vs6,N11226,N33423,0.5
Equal_6vs6,N11226,N12169,0.5
Equal_8vs3,N70001,N74194,0.5
Equal_8vs3,N70001,N18204,0.5
Equal_7vs9_mirror,N74301,N10790,0.5
Equal_7vs9_mirror,N74301,N85381,0.5
Equal_2vs5,N78389,N61252,0.5
Equal_2vs5,N78389,N23723,0.5
Equal_7vs9,N23168,N97931,0.5
Equal_7vs9,N23168,N71964,0.5
6vs2,N57320,N16786,0.5
6vs2,N57320,N92511,0.5
Equal_8vs8_mirror,N25275,N90121,0.5
Equal_8vs8_mirror,N25275,N19704,0.5
4vs1,N71706,N89283,0.5
4vs1,N71706,N66282,0.5
4vs1,N66282,N87450,0.5
4vs1,N66282,N37939,0.5
Equal_7vs2,N75113,N97490,0.5
Equal_7vs2,N75113,N76871,0.5
Equal_7vs2_mirror,N10437,N63818,0.5
Equal_7vs2_mirror,N10437,N65890,0.5
Equal_8vs3_mirror,N74322,N68066,0.5
Equal_8vs3_mirror,N74322,N55102,0.5
4ways_mirror,N71965,N55786,0.25
4ways_mirror,N71965,N68849,0.25
4ways_mirror,N71965,N87420,0.25
4ways_mirror,N71965,N28069,0.25
4ways_mirror,N55786,N68398,0.3333
4ways_mirror,N55786,N22049,0.3333
4ways_mirror,N55786,N79058,0.3333
4ways_mirror,N68849,N28828,0.25
4ways_mirror,N68849,N48426,0.25
4ways_mirror,N68849,N16410,0.25
4ways_mirror,N68849,N53771,0.25
4ways_mirror,N87420,N90986,0.3333
4ways_mirror,N87420,N68046,0.3333
4ways_mirror,N87420,N93564,0.3333
4ways_mirror,N28069,N21757,0.3333
4ways_mirror,N28069,N22145,0.3333
4ways_mirror,N28069,N71364,0.3333
4ways_mirror,N68398,N60588,0.3333
4ways_mirror,N68398,N23137,0.3333
4ways_mirror,N68398,N79304,0.3333
4ways_mirror,N22049,N94824,0.5
4ways_mirror,N22049,N37493,0.5
4ways_mirror,N79058,N46312,0.5
4ways_mirror,N79058,N31173,0.5
4ways_mirror,N28828,N75273,0.3333
4ways_mirror,N28828,N37033,0.3333
4ways_mirror,N28828,N88234,0.3333
4ways_mirror,N48426,N41451,0.3333
4ways_mirror,N48426,N27413,0.3333
4ways_mirror,N48426,N45999,0.3333
4ways_mirror,N16410,N32267,0.3333
4ways_mirror,N16410,N87145,0.3333
4ways_mirror,N16410,N55789,0.3333
4ways_mirror,N53771,N38229,0.3333
4ways_mirror,N53771,N15390,0.3333
4ways_mirror,N53771,N65464,0.3333
4ways_mirror,N90986,N21041,0.5
4ways_mirror,N90986,N47798,0.5
4ways_mirror,N68046,N53960,0.3333
4ways_mirror,N68046,N42350,0.3333
4ways_mirror,N68046,N46824,0.3333
4ways_mirror,N93564,N47858,0.5
4ways_mirror,N93564,N31791,0.5
4ways_mirror,N21757,N19849,0.5
4ways_mirror,N21757,N36492,0.5
4ways_mirror,N22145,N91361,0.3333
4ways_mirror,N22145,N78667,0.3333
4ways_mirror,N22145,N30701,0.3333
4ways_mirror,N71364,N79447,0.5
4ways_mirror,N71364,N18846,0.5
4ways_mirror,N60588,N60795,0.5
4ways_mirror,N60588,N29964,0.5
4ways_mirror,N23137,N74083,0.5
4ways_mirror,N23137,N52837,0.5
4ways_mirror,N79304,N96924,0.5
4ways_mirror,N79304,N54084,0.5
4ways_mirror,N37493,N63557,0.5
4ways_mirror,N37493,N26073,0.5
4ways_mirror,N31173,N87853,0.5
4ways_mirror,N31173,N87991,0.5
4ways_mirror,N75273,N29231,0.5
4ways_mirror,N75273,N70739,0.5
4ways_mirror,N37033,N47116,0.5
4ways_mirror,N37033,N30208,0.5
4ways_mirror,N88234,N36457,0.5
4ways_mirror,N88234,N93228,0.5
4ways_mirror,N41451,N22471,0.5
4ways_mirror,N41451,N31588,0.5
4ways_mirror,N27413,N80310,0.5
4ways_mirror,N27413,N40338,0.5
4ways_mirror,N45999,N49560,0.5
4ways_mirror,N45999,N24311,0.5
4ways_mirror,N32267,N57126,0.5
4ways_mirror,N32267,N79544,0.5
4ways_mirror,N87145,N47247,0.5
4ways_mirror,N87145,N56814,0.5
4ways_mirror,N55789,N65639,0.5
4ways_mirror,N55789,N65017,0.5
4ways_mirror,N38229,N37405,0.5
4ways_mirror,N38229,N17573,0.5
4ways_mirror,N15390,N51337,0.5
4ways_mirror,N15390,N62990,0.5
4ways_mirror,N65464,N61864,0.5
4ways_mirror,N65464,N89454,0.5
4ways_mirror,N21041,N48290,0.5
4ways_mirror,N21041,N40989,0.5
4ways_mirror,N53960,N81689,0.5
4ways_mirror,N53960,N32447,0.5
4ways_mirror,N42350,N29704,0.5
4ways_mirror,N42350,N58755,0.5
4ways_mirror,N46824,N89645,0.5
4ways_mirror,N46824,N47373,0.5
4ways_mirror,N47858,N73898,0.5
4ways_mirror,N47858,N23123,0.5
4ways_mirror,N19849,N53360,0.5
4ways_mirror,N19849,N46264,0.5
4ways_mirror,N91361,N32948,0.5
4ways_mirror,N91361,N52201,0.5
4ways_mirror,N78667,N17951,0.5
4ways_mirror,N78667,N99164,0.5
4ways_mirror,N30701,N89074,0.5
4ways_mirror,N30701,N55188,0.5
4ways_mirror,N79447,N95306,0.5
4ways_mirror,N79447,N50638,0.5
3ways_3_mirror,N20346,N38661,0.3333
3ways_3_mirror,N20346,N57426,0.3333
3ways_3_mirror,N20346,N98561,0.3333
3ways_3_mirror,N38661,N51373,0.3333
3ways_3_mirror,N38661,N82112,0.3333
3ways_3_mirror,N38661,N42857,0.3333
3ways_3_mirror,N57426,N38351,0.5
3ways_3_mirror,N57426,N48636,0.5
3ways_3_mirror,N98561,N92027,0.5
3ways_3_mirror,N98561,N98315,0.5
3ways_3_mirror,N51373,N99885,0.5
3ways_3_mirror,N51373,N30323,0.5
3ways_3_mirror,N82112,N36667,0.5
3ways_3_mirror,N82112,N12726,0.5
3ways_3_mirror,N42857,N34852,0.5
3ways_3_mirror,N42857,N18946,0.5
3ways_3_mirror,N48636,N62524,0.5
3ways_3_mirror,N48636,N85330,0.5
3ways_3_mirror,N98315,N78143,0.5
3ways_3_mirror,N98315,N73577,0.5
Equal_4vs2_mirror,N96084,N46118,0.5
Equal_4vs2_mirror,N96084,N60971,0.5
Loop_2,N31422,N95626,0.3333
Loop_2,N31422,N65814,0.3333
Loop_2,N31422,N21081,0.3333
Loop_2,N21081,N94189,0.5
Loop_2,N21081,N45730,0.5
Loop_1_mirror,N75545,N24917,0.3333
Loop_1_mirror,N75545,N40181,0.3333
Loop_1_mirror,N75545,N24183,0.3333
Loop_1_mirror,N24183,N91491,0.5
Loop_1_mirror,N24183,N94758,0.5
3ways_4_mirror,N40560,N34466,0.3333
3ways_4_mirror,N40560,N92681,0.3333
3ways_4_mirror,N40560,N81346,0.3333
3ways_4_mirror,N34466,N29622,0.5
3ways_4_mirror,N34466,N46583,0.5
3ways_4_mirror,N92681,N31638,0.5
3ways_4_mirror,N92681,N67014,0.5
3ways_4_mirror,N81346,N70291,0.5
3ways_4_mirror,N81346,N67187,0.5
Loop_1,N62643,N98452,0.3333
Loop_1,N62643,N30259,0.3333
Loop_1,N62643,N46040,0.3333
Loop_1,N46040,N16375,0.5
Loop_1,N46040,N69766,0.5
Equal_6vs3_mirror,N36202,N79961,0.5
Equal_6vs3_mirror,N36202,N11570,0.5
Equal_6vs3_mirror,N11570,N88455,0.25
Equal_6vs3_mirror,N11570,N34903,0.25
Equal_6vs3_mirror,N11570,N21423,0.25
Equal_6vs3_mirror,N11570,N26950,0.25
Equal_6vs3_mirror,N23503,N12838,0.3333
Equal_6vs3_mirror,N23503,N61379,0.3333
Equal_6vs3_mirror,N23503,N24217,0.3333
Equal_6vs3_mirror,N26950,N86756,0.3333
Equal_6vs3_mirror,N26950,N31827,0.3333
Equal_6vs3_mirror,N26950,N97383,0.3333
4vs1_mirror,N18929,N32469,0.5
4vs1_mirror,N18929,N66250,0.5
4vs1_mirror,N66250,N14639,0.5
4vs1_mirror,N66250,N48874,0.5
3ways_4,N10778,N17119,0.3333
3ways_4,N10778,N41301,0.3333
3ways_4,N10778,N11146,0.3333
3ways_4,N17119,N92843,0.5
3ways_4,N17119,N61586,0.5
3ways_4,N41301,N48312,0.5
3ways_4,N41301,N52598,0.5
3ways_4,N11146,N27397,0.5
3ways_4,N11146,N88526,0.5
Equal_6vs6_mirror,N64290,N31979,0.5
Equal_6vs6_mirror,N64290,N99197,0.5
3ways_1_mirror,N57322,N72074,0.3333
3ways_1_mirror,N57322,N76155,0.3333
3ways_1_mirror,N57322,N49197,0.3333
3ways_1_mirror,N72074,N44785,0.5
3ways_1_mirror,N72074,N25579,0.5
3ways_1_mirror,N76155,N71411,0.5
3ways_1_mirror,N76155,N50448,0.5
3ways_1_mirror,N49197,N83903,0.5
3ways_1_mirror,N49197,N45565,0.5
6vs1_2,N62262,N90683,0.5
6vs1_2,N62262,N91944,0.5
6vs2_mirror,N16794,N20889,0.5
6vs2_mirror,N16794,N45925,0.5
3ways_1,N44644,N15176,0.3333
3ways_1,N44644,N68923,0.3333
3ways_1,N44644,N92191,0.3333
3ways_1,N15176,N26876,0.5
3ways_1,N15176,N42091,0.5
3ways_1,N68923,N10165,0.5
3ways_1,N68923,N96619,0.5
3ways_1,N92191,N16867,0.5
3ways_1,N92191,N77234,0.5
Equal_8vs8,N26136,N77859,0.5
Equal_8vs8,N26136,N23128,0.5
3ways_3,N69030,N79809,0.3333
3ways_3,N69030,N26625,0.3333
3ways_3,N69030,N65156,0.3333
3ways_3,N79809,N41261,0.3333
3ways_3,N79809,N53132,0.3333
3ways_3,N79809,N50019,0.3333
3ways_3,N26625,N92857,0.5
3ways_3,N26625,N43317,0.5
3ways_3,N65156,N54494,0.5
3ways_3,N65156,N64651,0.5
3ways_3,N41261,N40424,0.5
3ways_3,N41261,N12394,0.5
3ways_3,N53132,N51943,0.5
3ways_3,N53132,N97783,0.5
3ways_3,N50019,N91451,0.5
3ways_3,N50019,N34800,0.5
3ways_3,N43317,N12802,0.5
3ways_3,N43317,N97603,0.5
3ways_3,N64651,N77862,0.5
3ways_3,N64651,N42432,0.5
6vs1_1,N56747,N56864,0.5
6vs1_1,N56747,N82829,0.5
3ways_2,N90891,N81595,0.3333
3ways_2,N90891,N13245,0.3333
3ways_2,N90891,N77370,0.3333
3ways_2,N81595,N87576,0.5
3ways_2,N81595,N48010,0.5
3ways_2,N13245,N32928,0.5
3ways_2,N13245,N91031,0.5
3ways_2,N77370,N51166,0.5
3ways_2,N77370,N92423,0.5
6vs1_1_mirror,N32131,N97498,0.5
6vs1_1_mirror,N32131,N72305,0.5
